GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime,gameTimeRemaining,courtDistance,lateGameShot,cornerThree
Shot Chart Detail,22200571,447,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,5,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-4.0,16.0,1,1,20230104,MIN,POR,1970,,,,,1763,16.492422502470642,0,0
Shot Chart Detail,22200571,463,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,4,28,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-26.0,20.0,1,1,20230104,MIN,POR,1970,,,,,1708,32.802438933713454,0,0
Shot Chart Detail,22200580,300,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,31,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,13.0,1,1,20230106,IND,POR,1970,,,,,871,24.698178070456937,0,0
Shot Chart Detail,22200580,366,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,8,4,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-1.0,30.0,1,1,20230106,IND,POR,1970,,,,,1924,30.01666203960727,0,0
Shot Chart Detail,22200580,449,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,2,9,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-1.0,16.0,1,1,20230106,IND,POR,1970,,,,,1569,16.0312195418814,0,0
Shot Chart Detail,22200580,472,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,0,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-17.0,4.0,1,1,20230106,IND,POR,1970,,,,,1484,17.46424919657298,0,0
Shot Chart Detail,22200597,89,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-12.0,12.0,1,1,20230108,TOR,POR,1970,,,,,259,16.97056274847714,0,0
Shot Chart Detail,22200597,247,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-2.0,4.0,1,1,20230108,TOR,POR,1970,,,,,1037,4.47213595499958,0,0
Shot Chart Detail,22200597,381,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,7,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,13.0,16.0,1,1,20230108,TOR,POR,1970,,,,,1892,20.615528128088304,0,0
Shot Chart Detail,22200597,621,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,6,17,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,0.0,1,1,20230108,TOR,POR,1970,,,,,2537,0.0,0,0
Shot Chart Detail,22200616,296,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,-1.0,1,1,20230110,POR,ORL,1970,,,,,824,1.0,0,0
Shot Chart Detail,22200616,396,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,3.0,1,1,20230110,POR,ORL,1970,,,,,1825,5.830951894845301,0,0
Shot Chart Detail,22200616,439,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,2,41,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,2.0,-2.0,1,1,20230110,POR,ORL,1970,,,,,1601,2.8284271247461903,0,0
Shot Chart Detail,22200616,445,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,1,35,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,6.0,8.0,1,1,20230110,POR,ORL,1970,,,,,1535,10.0,0,0
Shot Chart Detail,22200616,576,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,3,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-7.0,3.0,1,1,20230110,POR,ORL,1970,,,,,2363,7.615773105863909,0,0
Shot Chart Detail,22200616,594,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,1,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-7.0,-1.0,1,1,20230110,POR,ORL,1970,,,,,2252,7.0710678118654755,0,0
Shot Chart Detail,22200631,22,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,9.0,0.0,1,1,20230112,POR,CLE,1970,,,,,617,9.0,0,0
Shot Chart Detail,22200631,197,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,10,9,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-12.0,11.0,1,1,20230112,POR,CLE,1970,,,,,1329,16.278820596099706,0,0
Shot Chart Detail,22200631,222,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,8,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-11.0,-4.0,1,1,20230112,POR,CLE,1970,,,,,1238,11.704699910719626,0,0
Shot Chart Detail,22200631,227,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,8,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-9.0,1.0,1,1,20230112,POR,CLE,1970,,,,,1213,9.055385138137417,0,0
