GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,playerName,TEAM_ID,team,period,minutesRemaining,secondsRemaining,eventType,ACTION_TYPE,SHOT_TYPE,shotZone,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,shotDistance,locationX,locationY,shotAttempted,shotMade,gameDate,HTM,VTM,season,shotClock,defenderDistance,dribbles,touchTime
Shot Chart Detail,22200051,451,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,0,47,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,146,224,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200051,576,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,4,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,234,63,1,1,20221024,POR,DEN,1970,,,,
Shot Chart Detail,22200065,34,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,7,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,200,169,1,1,20221026,POR,MIA,1970,,,,
Shot Chart Detail,22200065,106,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-103,238,1,1,20221026,POR,MIA,1970,,,,
Shot Chart Detail,22200065,258,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,59,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-176,118,1,1,20221026,POR,MIA,1970,,,,
Shot Chart Detail,22200065,332,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,23,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,1,20221026,POR,MIA,1970,,,,
Shot Chart Detail,22200065,360,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,11,42,Made Shot,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,202,164,1,1,20221026,POR,MIA,1970,,,,
Shot Chart Detail,22200065,416,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,7,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-85,260,1,1,20221026,POR,MIA,1970,,,,
Shot Chart Detail,22200150,89,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,50,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,172,1,1,20221107,MIA,POR,1970,,,,
Shot Chart Detail,22200150,229,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,145,212,1,1,20221107,MIA,POR,1970,,,,
