PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG3M,FG3A,FG3_PCT,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,AST,TOV,SEASON
2738,Andre Iguodala,GSW,64,25.4,0.5,1.8,0.282,2.3,5.0,0.463,0.9,1.4,0.632,3.3,1.0,2017-18
2738,Andre Iguodala,GSW,68,23.2,0.7,2.1,0.333,2.2,4.4,0.5,0.6,1.0,0.582,3.2,0.8,2018-19
2738,Andre Iguodala,MIA,63,21.3,1.0,2.9,0.33,1.5,3.9,0.383,0.4,0.6,0.658,2.3,1.1,2020-21
2738,Andre Iguodala,GSW,31,19.4,0.5,2.4,0.23,1.5,3.9,0.38,0.5,0.6,0.75,3.7,0.9,2021-22
203460,Andre Roberson,OKC,67,19.2,0.3,1.3,0.247,1.4,3.0,0.458,0.3,0.7,0.479,1.0,0.7,2014-15
203460,Andre Roberson,OKC,70,22.2,0.5,1.5,0.311,1.9,3.9,0.496,0.5,0.8,0.611,0.7,0.5,2015-16
203460,Andre Roberson,OKC,79,30.1,0.6,2.3,0.245,2.7,5.9,0.464,0.6,1.4,0.423,1.0,0.6,2016-17
1626150,Andrew Harrison,MEM,72,20.5,0.6,2.2,0.276,1.6,5.0,0.325,2.1,2.7,0.763,2.8,1.2,2016-17
1626150,Andrew Harrison,MEM,56,23.7,0.8,2.5,0.331,3.2,7.7,0.422,2.2,2.8,0.78,3.2,1.4,2017-18
1629614,Andrew Nembhard,IND,75,27.6,1.2,3.5,0.35,3.8,8.6,0.441,0.7,0.8,0.79,4.5,1.7,2022-23
1629614,Andrew Nembhard,IND,68,25.0,0.9,2.5,0.357,3.8,7.7,0.498,0.7,0.8,0.804,4.1,1.5,2023-24
203094,Andrew Nicholson,ORL,56,14.7,0.7,2.0,0.36,2.6,5.5,0.471,0.9,1.2,0.785,0.4,0.7,2015-16
203952,Andrew Wiggins,MIN,82,36.2,0.5,1.5,0.31,6.1,13.9,0.437,4.3,5.7,0.76,2.1,2.2,2014-15
203952,Andrew Wiggins,MIN,81,35.1,0.7,2.3,0.3,7.3,16.0,0.459,5.3,7.0,0.761,2.0,2.2,2015-16
203952,Andrew Wiggins,MIN,82,37.2,1.3,3.5,0.356,8.6,19.1,0.452,5.0,6.6,0.76,2.3,2.3,2016-17
203952,Andrew Wiggins,MIN,82,36.3,1.4,4.1,0.331,6.9,15.9,0.438,2.5,3.8,0.643,2.0,1.7,2017-18
